"unique_key","created_date","closed_date","agency","agency_name","complaint_type","descriptor","descriptor_2","location_type","incident_zip","incident_address","street_name","cross_street_1","cross_street_2","intersection_street_1","intersection_street_2","address_type","city","landmark","facility_type","status","due_date","resolution_description","resolution_action_updated_date","community_board","council_district","police_precinct","bbl","borough","x_coordinate_state_plane","y_coordinate_state_plane","open_data_channel_type","park_facility_name","park_borough","vehicle_type","taxi_company_borough","taxi_pick_up_location","bridge_highway_name","bridge_highway_direction","road_ramp","bridge_highway_segment","latitude","longitude","location"
"45278446","2019-12-31T23:01:32.000","2020-01-01T01:39:13.000","NYPD","New York City Police Department","Blocked Driveway","Partial Access",,"Street/Sidewalk","11209","360 93 STREET","93 STREET","3 AVENUE","4 AVENUE","3 AVENUE","4 AVENUE",,"BROOKLYN","93 STREET",,"Closed",,"The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","2020-01-01T01:39:15.000","10 BROOKLYN","43","Precinct 68","3061070027","BROOKLYN","975496","164467","PHONE","Unspecified","BROOKLYN",,,,,,,,"40.61809604440174","-74.03153214328269","POINT (-74.031532143283 40.618096044402)"
"45283565","2019-12-31T23:01:32.000","2020-01-01T00:31:24.000","NYPD","New York City Police Department","Noise - Residential","Loud Music/Party",,"Residential Building/House","10025","680 WEST END AVENUE","WEST END AVENUE","BROADWAY","WEST END AVENUE","BROADWAY","WEST END AVENUE",,"NEW YORK","WEST END AVENUE",,"Closed",,"The Police Department responded to the complaint but officers were unable to gain entry into the premises.","2020-01-01T00:31:26.000","07 MANHATTAN","06","Precinct 24","1012410001","MANHATTAN","991371","228296","ONLINE","Unspecified","MANHATTAN",,,,,,,,"40.79329299290045","-73.97428246620875","POINT (-73.974282466209 40.7932929929)"
"45282638","2019-12-31T23:01:29.000","2020-01-01T05:55:54.000","NYPD","New York City Police Department","Noise - Commercial","Banging/Pounding",,"Store/Commercial","11206","110 TROUTMAN STREET","TROUTMAN STREET","EVERGREEN AVENUE","CENTRAL AVENUE","EVERGREEN AVENUE","CENTRAL AVENUE",,"BROOKLYN","TROUTMAN STREET",,"Closed",,"The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","2020-01-01T05:55:59.000","04 BROOKLYN","34","Precinct 83","3031840017","BROOKLYN","1003701","194109","MOBILE","Unspecified","BROOKLYN",,,,,,,,"40.69943975805025","-73.92985148392047","POINT (-73.92985148392 40.69943975805)"
"45277930","2019-12-31T23:01:19.000","2019-12-31T23:20:27.000","NYPD","New York City Police Department","Illegal Parking","Blocked Hydrant",,"Street/Sidewalk","11375","67-06 102 STREET","102 STREET","67 AVENUE","67 ROAD","67 AVENUE","67 ROAD",,"FOREST HILLS","102 STREET",,"Closed",,"The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","2019-12-31T23:20:30.000","06 QUEENS","29","Precinct 112","4021197501","QUEENS","1025303","204378","MOBILE","Unspecified","QUEENS",,,,,,,,"40.7275518253696","-73.85188304249029","POINT (-73.85188304249 40.72755182537)"
"45281359","2019-12-31T23:01:05.000","2020-01-01T06:07:46.000","NYPD","New York City Police Department","Blocked Driveway","No Access",,"Street/Sidewalk","11203","434 EAST   34 STREET","EAST   34 STREET","TILDEN AVENUE","BEVERLEY ROAD","TILDEN AVENUE","BEVERLEY ROAD",,"BROOKLYN","EAST   34 STREET",,"Closed",,"The Police Department issued a summons in response to the complaint.","2020-01-01T06:07:53.000","17 BROOKLYN","45","Precinct 67","3049180020","BROOKLYN","999457","174703","PHONE","Unspecified","BROOKLYN",,,,,,,,"40.64618296598866","-73.94520091670248","POINT (-73.945200916702 40.646182965989)"
"45278946","2019-12-31T23:00:56.000","2019-12-31T23:50:53.000","NYPD","New York City Police Department","Noise - Residential","Loud Music/Party",,"Residential Building/House","11385","1671 MADISON STREET","MADISON STREET","MYRTLE AVENUE","CYPRESS AVENUE","MYRTLE AVENUE","CYPRESS AVENUE",,"RIDGEWOOD","MADISON STREET",,"Closed",,"The Police Department responded to the complaint but officers were unable to gain entry into the premises.","2019-12-31T23:50:58.000","05 QUEENS","34","Precinct 104","4034500054","QUEENS","1009774","194407","MOBILE","Unspecified","QUEENS",,,,,,,,"40.70024226549394","-73.90794856741009","POINT (-73.90794856741 40.700242265494)"
"45283518","2019-12-31T23:00:56.000","2020-01-01T02:08:42.000","NYPD","New York City Police Department","Noise - Residential","Banging/Pounding",,"Residential Building/House","11211","176 BORINQUEN PLACE","BORINQUEN PLACE","KEAP STREET","SOUTH    1 STREET","KEAP STREET","SOUTH    1 STREET",,"BROOKLYN","GRAND STREET EXTENSION",,"Closed",,"The Police Department responded to the complaint and determined that police action was not necessary.","2020-01-01T02:08:43.000","01 BROOKLYN","34","Precinct 90","3024120004","BROOKLYN","997138","198212","PHONE","Unspecified","BROOKLYN",,,,,,,,"40.710713517276005","-73.95351257374978","POINT (-73.95351257375 40.710713517276)"
"45280333","2019-12-31T23:00:24.000","2020-01-01T00:07:07.000","NYPD","New York City Police Department","Noise - Residential","Loud Music/Party",,"Residential Building/House","10462","1700 METROPOLITAN AVENUE","METROPOLITAN AVENUE","LINDEN DRIVE","PURDY STREET","LINDEN DRIVE","PURDY STREET",,"BRONX","METROPOLITAN AVENUE",,"Closed",,"The Police Department reviewed your complaint and provided additional information below.","2020-01-01T00:07:10.000","09 BRONX","18","Precinct 43","2039437501","BRONX","1024556","245559","PHONE","Unspecified","BRONX",,,,,,,,"40.840585968095404","-73.85433109493906","POINT (-73.854331094939 40.840585968095)"
"45287572","2019-12-31T23:00:21.000","2020-01-30T00:00:00.000","DOB","Department of Buildings","Building/Use","Illegal Conversion Of Residential Building/Space",,,"11419","104-20 115 STREET","115 STREET",,,,,"ADDRESS","South Richmond Hill",,"N/A","Closed",,"The Department of Buildings investigated this complaint and determined that no further action was necessary.","2020-01-30T00:00:00.000","10 QUEENS","28","Precinct 106","4095370014","QUEENS","1032072","189025","UNKNOWN","Unspecified","QUEENS",,,,,,,,"40.68537754035318","-73.82756996016761","POINT (-73.827569960168 40.685377540353)"
"45282923","2019-12-31T23:00:14.000","2020-01-01T02:36:53.000","NYPD","New York City Police Department","Noise - Residential","Loud Music/Party",,"Residential Building/House","11226","275 LINDEN BOULEVARD","LINDEN BOULEVARD","NOSTRAND AVENUE","NEW YORK AVENUE","NOSTRAND AVENUE","NEW YORK AVENUE",,"BROOKLYN","LINDEN BOULEVARD",,"Closed",,"The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","2020-01-01T02:36:56.000","17 BROOKLYN","40","Precinct 67","3048530093","BROOKLYN","998478","177079","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.65270619634423","-73.9487237728878","POINT (-73.948723772888 40.652706196344)"
"45277690","2019-12-31T23:00:13.000","2020-01-01T04:49:15.000","NYPD","New York City Police Department","Blocked Driveway","No Access",,"Street/Sidewalk","11368","58-26 VAN CLEEF STREET","VAN CLEEF STREET","SAULTELL AVENUE","HORACE HARDING EXPRESSWAY","SAULTELL AVENUE","HORACE HARDING EXPRESSWAY",,"CORONA","VAN CLEEF STREET",,"Closed",,"The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","2020-01-01T04:49:23.000","04 QUEENS","21","Precinct 110","4019710140","QUEENS","1025946","208805","MOBILE","Unspecified","QUEENS",,,,,,,,"40.73969982588085","-73.84953570306824","POINT (-73.849535703068 40.739699825881)"
"45280075","2019-12-31T23:00:04.000","2020-01-01T06:57:20.000","NYPD","New York City Police Department","Noise - Residential","Loud Music/Party",,,"11427","206-09 86 ROAD","86 ROAD","204 STREET","208 STREET","204 STREET","208 STREET",,"QUEENS VILLAGE","86 ROAD",,"Closed",,"The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","2020-01-01T06:57:26.000","08 QUEENS","23","Precinct 107","4105990100","QUEENS","1050113","203038","PHONE","Unspecified","QUEENS",,,,,,,,"40.723723926322464","-73.7623834030916","POINT (-73.762383403092 40.723723926322)"
"45281076","2019-12-31T23:00:02.000","2019-12-31T23:31:21.000","NYPD","New York City Police Department","Noise - Residential","Loud Music/Party",,"Residential Building/House","10312","9 STACK DRIVE","STACK DRIVE","RUSSEK DRIVE","HAMMOCK LANE","RUSSEK DRIVE","HAMMOCK LANE",,"STATEN ISLAND","STACK DRIVE",,"Closed",,"The Police Department responded to the complaint and determined that police action was not necessary.","2019-12-31T23:31:23.000","03 STATEN ISLAND","51","Precinct 123","5060177505","STATEN ISLAND","929032","138849","PHONE","Unspecified","STATEN ISLAND",,,,,,,,"40.547612153096836","-74.19868708653333","POINT (-74.198687086533 40.547612153097)"
"45280701","2019-12-31T22:59:58.000","2020-01-01T02:19:40.000","NYPD","New York City Police Department","Noise - Residential","Loud Music/Party",,"Residential Building/House","10029","1698 LEXINGTON AVENUE","LEXINGTON AVENUE","EAST  106 STREET","EAST  107 STREET","EAST  106 STREET","EAST  107 STREET",,"NEW YORK","LEXINGTON AVENUE",,"Closed",,"The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","2020-01-01T02:19:44.000","11 MANHATTAN","08","Precinct 23","1016340017","MANHATTAN","999178","228019","ONLINE","Unspecified","MANHATTAN",,,,,,,,"40.79252296324153","-73.94608806029225","POINT (-73.946088060292 40.792522963242)"
"45281788","2019-12-31T22:59:51.000","2020-01-01T07:48:57.000","NYPD","New York City Police Department","Illegal Parking","Commercial Overnight Parking",,"Street/Sidewalk","11105","20-60 46 STREET","46 STREET","20 ROAD","21 AVENUE","20 ROAD","21 AVENUE",,"ASTORIA","46 STREET",,"Closed",,"The Police Department responded and upon arrival those responsible for the condition were gone.","2020-01-01T07:49:04.000","01 QUEENS","22","Precinct 114","4007730055","QUEENS","1012077","220823","MOBILE","Unspecified","QUEENS",,,,,,,,"40.77274066400168","-73.8995336191959","POINT (-73.899533619196 40.772740664002)"
"45284717","2019-12-31T22:59:25.000","2019-12-31T23:21:49.000","NYPD","New York City Police Department","Noise - Residential","Loud Music/Party",,,"10455","455 EAST  148 STREET","EAST  148 STREET","BERGEN AVENUE","BROOK AVENUE","BERGEN AVENUE","BROOK AVENUE",,"BRONX","EAST  148 STREET",,"Closed",,"The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","2019-12-31T23:21:50.000","01 BRONX","08","Precinct 40","2022930058","BRONX","1007353","236096","PHONE","Unspecified","BRONX",,,,,,,,"40.814674509013855","-73.91653656075259","POINT (-73.916536560753 40.814674509014)"
"45282070","2019-12-31T22:58:53.000","2019-12-31T23:50:23.000","NYPD","New York City Police Department","Noise - Residential","Loud Music/Party",,"Residential Building/House","11385","1671 MADISON STREET","MADISON STREET","MYRTLE AVENUE","CYPRESS AVENUE","MYRTLE AVENUE","CYPRESS AVENUE",,"RIDGEWOOD","MADISON STREET",,"Closed",,"The Police Department responded to the complaint but officers were unable to gain entry into the premises.","2019-12-31T23:50:32.000","05 QUEENS","34","Precinct 104","4034500054","QUEENS","1009774","194407","MOBILE","Unspecified","QUEENS",,,,,,,,"40.70024226549394","-73.90794856741009","POINT (-73.90794856741 40.700242265494)"
"45283680","2019-12-31T22:58:47.000","2020-01-03T08:54:44.000","HPD","Department of Housing Preservation and Development","ELECTRIC","NO LIGHTING","ONE ROOM OR AREA","RESIDENTIAL BUILDING","11213","925 ST MARKS AVENUE","ST MARKS AVENUE",,,,,"ADDRESS","BROOKLYN",,,"Closed",,"The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.","2020-01-03T08:54:44.000","08 BROOKLYN","36","Precinct 77","3012230076","BROOKLYN","1000614","185101","PHONE","Unspecified","BROOKLYN",,,,,,,,"40.674721115298816","-73.94100638382733","POINT (-73.941006383827 40.674721115299)"
"45279979","2019-12-31T22:58:37.000","2019-12-31T23:26:32.000","NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Music/Party",,"Street/Sidewalk","11223","1896 EAST    5 STREET","EAST    5 STREET","AVENUE R","AVENUE S","AVENUE R","AVENUE S",,"BROOKLYN","EAST    5 STREET",,"Closed",,"The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","2019-12-31T23:26:35.000","15 BROOKLYN","47","Precinct 61","3066810319","BROOKLYN","993118","159346","MOBILE","Unspecified","BROOKLYN",,,,,,,,"40.604039840137936","-73.96806395069306","POINT (-73.968063950693 40.604039840138)"
"45277694","2019-12-31T22:58:32.000","2020-01-01T13:49:55.000","NYPD","New York City Police Department","Blocked Driveway","No Access",,"Street/Sidewalk","10460","977 EAST  179 STREET","EAST  179 STREET","VYSE AVENUE","BRYANT AVENUE","VYSE AVENUE","BRYANT AVENUE",,"BRONX","EAST  179 STREET",,"Closed",,"The Police Department responded and upon arrival those responsible for the condition were gone.","2020-01-01T13:49:57.000","06 BRONX","15","Precinct 48","2031320007","BRONX","1017216","246270","PHONE","Unspecified","BRONX",,,,,,,,"40.84256790513904","-73.88085487369487","POINT (-73.880854873695 40.842567905139)"
"45283948","2019-12-31T22:58:20.000","2020-01-01T08:20:08.000","NYPD","New York City Police Department","Illegal Parking","Commercial Overnight Parking",,"Street/Sidewalk","11214","2762 HARWAY AVENUE","HARWAY AVENUE","BAY   47 STREET","28 AVENUE","BAY   47 STREET","28 AVENUE",,"BROOKLYN","HARWAY AVENUE",,"Closed",,"The Police Department responded to the complaint and took action to fix the condition.","2020-01-01T08:20:10.000","13 BROOKLYN","47","Precinct 60","3069150099","BROOKLYN","988007","153890","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.58906786153081","-73.98647306781055","POINT (-73.986473067811 40.589067861531)"
"45282290","2019-12-31T22:57:34.000","2019-12-31T23:07:43.000","NYPD","New York City Police Department","Noise - Residential","Banging/Pounding",,"Residential Building/House","11235","3235 EMMONS AVENUE","EMMONS AVENUE","BRIGHAM STREET","BEND","BRIGHAM STREET","BEND",,"BROOKLYN","EMMONS AVENUE",,"Closed",,"The Police Department responded and upon arrival those responsible for the condition were gone.","2019-12-31T23:07:48.000","15 BROOKLYN","48","Precinct 61","3088080059","BROOKLYN","1003259","152155","PHONE","Unspecified","BROOKLYN",,,,,,,,"40.58428604671687","-73.93156372953595","POINT (-73.931563729536 40.584286046717)"
"45280247","2019-12-31T22:57:30.000","2020-01-01T00:31:44.000","NYPD","New York City Police Department","Noise - Residential","Loud Music/Party",,"Residential Building/House","10025","231 WEST   96 STREET","WEST   96 STREET","AMSTERDAM AVENUE","BROADWAY","AMSTERDAM AVENUE","BROADWAY",,"NEW YORK","WEST   96 STREET",,"Closed",,"The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","2020-01-01T00:31:48.000","07 MANHATTAN","07","Precinct 24","1018680020","MANHATTAN","992200","228717","ONLINE","Unspecified","MANHATTAN",,,,,,,,"40.7944478170899","-73.97128802962877","POINT (-73.971288029629 40.79444781709)"
"45281580","2019-12-31T22:57:20.000","2020-01-03T11:45:00.000","DOT","Department of Transportation","Street Condition","Pothole",,,"10016","269 MADISON AVENUE","MADISON AVENUE","EAST   39 STREET","EAST   40 STREET",,,"ADDRESS","NEW YORK",,,"Closed",,"The Department of Transportation inspected this complaint and found that the problem was fixed.","2020-01-03T11:45:00.000","06 MANHATTAN","04","Precinct 17","1008690020","MANHATTAN","989664","212952","UNKNOWN","Unspecified","MANHATTAN",,,,,,,,"40.751178934700896","-73.98045966803295","POINT (-73.980459668033 40.751178934701)"
"45281119","2019-12-31T22:56:42.000","2020-01-01T00:07:26.000","NYPD","New York City Police Department","Noise - Residential","Loud Music/Party",,,"10462","1700 METROPOLITAN AVENUE","METROPOLITAN AVENUE","LINDEN DRIVE","PURDY STREET","LINDEN DRIVE","PURDY STREET",,"BRONX","METROPOLITAN AVENUE",,"Closed",,"The Police Department reviewed your complaint and provided additional information below.","2020-01-01T00:07:29.000","09 BRONX","18","Precinct 43","2039437501","BRONX","1024556","245559","PHONE","Unspecified","BRONX",,,,,,,,"40.840585968095404","-73.85433109493906","POINT (-73.854331094939 40.840585968095)"
"45281478","2019-12-31T22:56:21.000","2020-01-01T02:13:49.000","NYPD","New York City Police Department","Noise - Residential","Loud Music/Party",,"Residential Building/House","11435","90-49 149 STREET","149 STREET","LOWE COURT","JAMAICA AVENUE","LOWE COURT","JAMAICA AVENUE",,"JAMAICA","149 STREET",,"Closed",,"The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","2020-01-01T02:13:50.000","12 QUEENS","24","Precinct 103",,"QUEENS","1038084","195316","PHONE","Unspecified","QUEENS",,,,,,,,"40.70261031198583","-73.80584250139044","POINT (-73.80584250139 40.702610311986)"
"45283696","2019-12-31T22:56:13.000","2020-01-01T00:45:26.000","NYPD","New York City Police Department","Noise - Residential","Loud Music/Party",,,"11223","EAST    8 STREET","EAST    8 STREET","AVENUE S","AVENUE T","AVENUE S","AVENUE T",,,,,"Closed",,"Your request can not be processed at this time because of insufficient contact information. Please create a new Service Request on NYC.gov and provide more detailed contact information.","2020-01-01T00:45:31.000","Unspecified BROOKLYN",,"Precinct 61",,"BROOKLYN",,,"PHONE","Unspecified","BROOKLYN",,,,,,,,,,
"45283956","2019-12-31T22:56:10.000","2020-01-01T02:15:44.000","NYPD","New York City Police Department","Illegal Parking","Blocked Hydrant",,"Street/Sidewalk","10030","129 WEST  138 STREET","WEST  138 STREET","LENOX AVENUE","ADAM CLAYTON POWELL JR BOULEVARD","LENOX AVENUE","ADAM CLAYTON POWELL JR BOULEVARD",,"NEW YORK","WEST  138 STREET",,"Closed",,"The Police Department responded and upon arrival those responsible for the condition were gone.","2020-01-01T02:15:45.000","10 MANHATTAN","09","Precinct 32","1020070010","MANHATTAN","1000504","236866","PHONE","Unspecified","MANHATTAN",,,,,,,,"40.81680319942216","-73.94127784135686","POINT (-73.941277841357 40.816803199422)"
"45278017","2019-12-31T22:56:00.000","2019-12-31T23:51:42.000","NYPD","New York City Police Department","Noise - Residential","Loud Music/Party",,"Residential Building/House","11385","1671 MADISON STREET","MADISON STREET","MYRTLE AVENUE","CYPRESS AVENUE","MYRTLE AVENUE","CYPRESS AVENUE",,"RIDGEWOOD","MADISON STREET",,"Closed",,"The Police Department responded to the complaint but officers were unable to gain entry into the premises.","2019-12-31T23:51:45.000","05 QUEENS","34","Precinct 104","4034500054","QUEENS","1009774","194407","MOBILE","Unspecified","QUEENS",,,,,,,,"40.70024226549394","-73.90794856741009","POINT (-73.90794856741 40.700242265494)"
"45283571","2019-12-31T22:55:35.000","2019-12-31T23:30:49.000","NYPD","New York City Police Department","Noise - Residential","Loud Music/Party",,"Residential Building/House","10003","355 EAST   19 STREET","EAST   19 STREET","2 AVENUE","1 AVENUE","2 AVENUE","1 AVENUE",,"NEW YORK","EAST   19 STREET",,"Closed",,"The Police Department responded to the complaint and took action to fix the condition.","2019-12-31T23:30:52.000","06 MANHATTAN","02","Precinct 13","1009257501","MANHATTAN","989458","206990","ONLINE","Unspecified","MANHATTAN",,,,,,,,"40.73481485687344","-73.98120778418809","POINT (-73.981207784188 40.734814856873)"
"45278058","2019-12-31T22:55:28.000","2020-01-03T17:07:08.000","HPD","Department of Housing Preservation and Development","HEAT/HOT WATER","APARTMENT ONLY","NO HEAT","RESIDENTIAL BUILDING","11417","109-19 96 STREET","96 STREET",,,,,"ADDRESS","Ozone Park",,,"Closed",,"The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.","2020-01-03T17:07:08.000","10 QUEENS","32","Precinct 106","4091740084","QUEENS","1028134","186274","PHONE","Unspecified","QUEENS",,,,,,,,"40.67784708375255","-73.84178694618699","POINT (-73.841786946187 40.677847083753)"
"45278231","2019-12-31T22:55:16.000","2020-01-01T10:02:53.000","NYPD","New York City Police Department","Noise - Residential","Loud Music/Party",,"Residential Building/House","10460","1705 HOE AVENUE","HOE AVENUE","EAST  173 STREET","EAST  174 STREET","EAST  173 STREET","EAST  174 STREET",,"BRONX","HOE AVENUE",,"Closed",,"The Police Department responded to the complaint and took action to fix the condition.","2020-01-01T10:02:57.000","03 BRONX","17","Precinct 42","2029830030","BRONX","1015446","244002","ONLINE","Unspecified","BRONX",,,,,,,,"40.83634934042209","-73.88726251817741","POINT (-73.887262518177 40.836349340422)"
"45282641","2019-12-31T22:55:08.000","2019-12-31T23:09:29.000","NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Music/Party",,,"11238","41 EASTERN PARKWAY","EASTERN PARKWAY","UNDERHILL AVENUE","BEND","UNDERHILL AVENUE","BEND",,"BROOKLYN","EASTERN PARKWAY",,"Closed",,"The Police Department responded to the complaint and determined that police action was not necessary.","2019-12-31T23:09:34.000","08 BROOKLYN","35","Precinct 77","3011790096","BROOKLYN","993419","184429","PHONE","Unspecified","BROOKLYN",,,,,,,,"40.67288700256193","-73.96694588342999","POINT (-73.96694588343 40.672887002562)"
"45278972","2019-12-31T22:54:07.000","2019-12-31T23:11:36.000","NYPD","New York City Police Department","Noise - Residential","Banging/Pounding",,"Residential Building/House","10034","213 NAGLE AVENUE","NAGLE AVENUE",,,,,,"NEW YORK","NAGLE AVENUE",,"Closed",,"The Police Department responded to the complaint and determined that police action was not necessary.","2019-12-31T23:11:38.000","12 MANHATTAN","10","Precinct 34","1022160001","MANHATTAN","1005572","253428","MOBILE","Unspecified","MANHATTAN",,,,,,,,"40.86225027373548","-73.92291561661044","POINT (-73.92291561661 40.862250273735)"
"45281822","2019-12-31T22:54:05.000","2020-01-01T10:59:06.000","NYPD","New York City Police Department","Illegal Parking","Commercial Overnight Parking",,"Street/Sidewalk","11378","66-14 52 ROAD","52 ROAD","66 STREET","67 STREET","66 STREET","67 STREET",,"MASPETH","52 ROAD",,"Closed",,"The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","2020-01-01T10:59:09.000","05 QUEENS","30","Precinct 104","4024100009","QUEENS","1012362","206317","MOBILE","Unspecified","QUEENS",,,,,,,,"40.7329244961283","-73.89856530378464","POINT (-73.898565303785 40.732924496128)"
"45280245","2019-12-31T22:54:05.000","2019-12-31T23:12:05.000","NYPD","New York City Police Department","Noise - Residential","Banging/Pounding",,"Residential Building/House","10034","213 NAGLE AVENUE","NAGLE AVENUE",,,,,,"NEW YORK","NAGLE AVENUE",,"Closed",,"The Police Department responded to the complaint and determined that police action was not necessary.","2019-12-31T23:12:07.000","12 MANHATTAN","10","Precinct 34","1022160001","MANHATTAN","1005572","253428","MOBILE","Unspecified","MANHATTAN",,,,,,,,"40.86225027373548","-73.92291561661044","POINT (-73.92291561661 40.862250273735)"
"45283822","2019-12-31T22:53:53.000","2019-12-31T23:36:47.000","NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Music/Party",,"Street/Sidewalk","10040","WEST  193 STREET","WEST  193 STREET","AUDUBON AVENUE","WEST  193 STREET","AUDUBON AVENUE","WEST  193 STREET",,,,,"Closed",,"The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","2019-12-31T23:36:48.000","12 MANHATTAN","10","Precinct 34",,"MANHATTAN","1004482","251234","MOBILE","Unspecified","MANHATTAN",,,,,,,,"40.85623097012447","-73.92686286090908","POINT (-73.926862860909 40.856230970124)"
"45284600","2019-12-31T22:53:45.000","2019-12-31T22:58:11.000","NYPD","New York City Police Department","Noise - Residential","Loud Music/Party",,"Residential Building/House","11223","176 LAKE STREET","LAKE STREET","AVENUE S","AVENUE T","AVENUE S","AVENUE T",,"BROOKLYN","LAKE STREET",,"Closed",,"The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","2019-12-31T22:58:18.000","11 BROOKLYN","47","Precinct 62","3070860038","BROOKLYN","991566","157884","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.600028364531795","-73.97365470256682","POINT (-73.973654702567 40.600028364532)"
"45281547","2019-12-31T22:53:23.000","2020-01-01T11:00:49.000","NYPD","New York City Police Department","Noise - Residential","Loud Music/Party",,"Residential Building/House","10039","2949 8 AVENUE","8 AVENUE","MACOMBS DAM BRDG PEDESTRIAN PATH","HARLEM RIVER DRIVE","MACOMBS DAM BRDG PEDESTRIAN PATH","HARLEM RIVER DRIVE",,"NEW YORK","8 AVENUE",,"Closed",,"The Police Department responded to the complaint and determined that police action was not necessary.","2020-01-01T11:00:52.000","10 MANHATTAN","09","Precinct 32","1021060003","MANHATTAN","1001746","241626","ONLINE","Unspecified","MANHATTAN",,,,,,,,"40.82986567425228","-73.93677835612083","POINT (-73.936778356121 40.829865674252)"
"45280085","2019-12-31T22:53:23.000","2020-01-03T03:26:31.000","NYPD","New York City Police Department","Noise - Residential","Loud Music/Party",,,"10466","2027 PITMAN AVENUE","PITMAN AVENUE","DE REIMER AVENUE","WILDER AVENUE","DE REIMER AVENUE","WILDER AVENUE",,"BRONX","PITMAN AVENUE",,"Closed",,"The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","2020-01-03T03:26:36.000","12 BRONX","12","Precinct 47","2050580006","BRONX","1027376","266096","PHONE","Unspecified","BRONX",,,,,,,,"40.89694035672621","-73.84400724987643","POINT (-73.844007249876 40.896940356726)"
"45278140","2019-12-31T22:53:20.000","2020-01-01T16:40:14.000","NYPD","New York City Police Department","Noise - Residential","Loud Music/Party",,"Residential Building/House","11435","97-22 REMINGTON STREET","REMINGTON STREET","97 AVENUE","101 AVENUE","97 AVENUE","101 AVENUE",,"JAMAICA","REMINGTON STREET",,"Closed",,"The Police Department reviewed your complaint and provided additional information below.","2020-01-01T16:40:19.000","12 QUEENS","28","Precinct 103","4100090023","QUEENS","1036529","192634","PHONE","Unspecified","QUEENS",,,,,,,,"40.695258188292584","-73.81147155901769","POINT (-73.811471559018 40.695258188293)"
"45280317","2019-12-31T22:52:56.000","2019-12-31T23:56:04.000","NYPD","New York City Police Department","Noise - Residential","Loud Music/Party",,"Residential Building/House","11385","1671 MADISON STREET","MADISON STREET","MYRTLE AVENUE","CYPRESS AVENUE","MYRTLE AVENUE","CYPRESS AVENUE",,"RIDGEWOOD","MADISON STREET",,"Closed",,"The Police Department responded to the complaint but officers were unable to gain entry into the premises.","2019-12-31T23:56:07.000","05 QUEENS","34","Precinct 104","4034500054","QUEENS","1009774","194407","MOBILE","Unspecified","QUEENS",,,,,,,,"40.70024226549394","-73.90794856741009","POINT (-73.90794856741 40.700242265494)"
"45277987","2019-12-31T22:52:50.000","2019-12-31T23:55:34.000","NYPD","New York City Police Department","Noise - Residential","Loud Music/Party",,"Residential Building/House","11385","1671 MADISON STREET","MADISON STREET","MYRTLE AVENUE","CYPRESS AVENUE","MYRTLE AVENUE","CYPRESS AVENUE",,"RIDGEWOOD","MADISON STREET",,"Closed",,"The Police Department responded to the complaint but officers were unable to gain entry into the premises.","2019-12-31T23:55:37.000","05 QUEENS","34","Precinct 104","4034500054","QUEENS","1009774","194407","MOBILE","Unspecified","QUEENS",,,,,,,,"40.70024226549394","-73.90794856741009","POINT (-73.90794856741 40.700242265494)"
"45284017","2019-12-31T22:52:29.000","2019-12-31T23:01:20.000","NYPD","New York City Police Department","Illegal Parking","Blocked Hydrant",,"Street/Sidewalk","11214","2341 CROPSEY AVENUE","CROPSEY AVENUE","BAY   34 STREET","BAY   35 STREET","BAY   34 STREET","BAY   35 STREET",,"BROOKLYN","CROPSEY AVENUE",,"Closed",,"The Police Department issued a summons in response to the complaint.","2019-12-31T23:01:20.000","11 BROOKLYN","47","Precinct 62",,"BROOKLYN","985375","156047","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.59498911885039","-73.99594912213936","POINT (-73.995949122139 40.59498911885)"
